Case_Reference,Date_Received,Date_Completed,Department,Operational_Unit,Region,Classification,Current_Status,Processing_Duration_Days,SLA_Target_Days,Quality_Audit_Score,Case_Cost_GBP
CAS-2025-01063,2025-01-01,2025-01-03,Customer Enforcement,Unit 2,Wales & South West,Urgent License,Completed,2,5,88.4,137.37
CAS-2025-01064,2025-08-01,2025-10-02,Operations,Unit 3,North & Scotland,Complex Inspection,Completed,62,45,95.5,2282.62
CAS-2025-01065,2025-02-11,2025-02-20,Operations,Unit 4,Wales & South West,Standard Application,Completed,9,15,80.8,444.26
CAS-2025-01066,2025-05-23,2025-06-02,Regulatory Approvals,Unit 1,London & South East,Standard Application,Completed,10,15,89.9,411.66
CAS-2025-01067,2025-04-14,2025-06-02,Regulatory Approvals,Unit 3,Midlands,Appeals & Inquiries,Completed,49,60,86.8,1868.9
CAS-2025-01068,2025-06-06,2025-10-05,Regulatory Approvals,Unit 2,North & Scotland,Complex Inspection,Completed,121,45,89.6,4420.74
CAS-2025-01069,2025-10-16,2025-10-21,Operations,Unit 2,Midlands,Urgent License,Completed,5,5,98.2,238.56
CAS-2025-01070,2025-08-16,2025-09-21,Regulatory Approvals,Unit 4,Wales & South West,Complex Inspection,Completed,36,45,88.9,1376.64
CAS-2025-01071,2025-06-22,2025-07-28,Customer Enforcement,Unit 3,North & Scotland,Complex Inspection,Completed,36,45,87.4,1346.16
CAS-2025-01072,2025-02-07,2025-02-18,Operations,Unit 3,North & Scotland,Standard Application,Completed,11,15,84.5,531.69
CAS-2025-01073,2025-04-14,2025-05-01,Regulatory Approvals,Unit 1,London & South East,Standard Application,Completed,17,15,92.7,723.17
CAS-2025-01074,2025-10-20,,Customer Enforcement,Unit 2,London & South East,Complex Inspection,Awaiting Evidence,12,45,,483.73
CAS-2025-01075,2025-10-23,2025-10-31,Customer Enforcement,Unit 3,North & Scotland,Standard Application,Completed,8,15,96.4,350.55
CAS-2025-01076,2025-07-01,2025-07-09,Customer Enforcement,Unit 1,North & Scotland,Standard Application,Completed,8,15,82.5,408.42
CAS-2025-01077,2025-07-21,2025-07-30,Customer Enforcement,Unit 1,Midlands,Standard Application,Completed,9,15,100.0,423.24
CAS-2025-01078,2025-03-16,2025-04-04,Specialist Assessment,Unit 3,Midlands,Standard Application,Completed,19,15,89.3,815.77
CAS-2025-01079,2025-07-01,2025-07-20,Operations,Unit 3,Wales & South West,Standard Application,Completed,19,15,92.5,760.74
CAS-2025-01080,2025-03-04,2025-03-14,Operations,Unit 2,Wales & South West,Standard Application,Completed,10,15,91.8,460.73
CAS-2025-01081,2025-03-04,2025-03-29,Specialist Assessment,Unit 1,North & Scotland,Complex Inspection,Completed,25,45,94.6,1012.5
CAS-2025-01082,2025-07-30,2025-08-30,Operations,Unit 2,London & South East,Complex Inspection,Completed,31,45,93.8,1179.9
CAS-2025-01083,2025-06-24,2025-07-04,Regulatory Approvals,Unit 2,Wales & South West,Standard Application,Completed,10,15,99.0,481.54
CAS-2025-01084,2025-05-12,2025-06-20,Operations,Unit 1,North & Scotland,Appeals & Inquiries,Completed,39,60,97.0,1475.37
CAS-2025-01085,2025-03-28,2025-03-31,Specialist Assessment,Unit 4,Midlands,Urgent License,Completed,3,5,84.0,211.67
CAS-2025-01086,2025-09-12,2025-09-14,Operations,Unit 2,London & South East,Urgent License,Completed,2,5,84.7,130.94
CAS-2025-01087,2025-04-06,2025-04-13,Specialist Assessment,Unit 4,Wales & South West,Urgent License,Completed,7,5,96.3,392.94
CAS-2025-01088,2025-07-01,2025-07-03,Operations,Unit 3,North & Scotland,Urgent License,Completed,2,5,82.0,210.27
CAS-2025-01089,2025-10-30,,Regulatory Approvals,Unit 3,Midlands,Urgent License,Under Review,2,5,,147.81
CAS-2025-01090,2025-09-18,2025-10-04,Operations,Unit 4,Midlands,Standard Application,Completed,16,15,100.0,639.95
CAS-2025-01091,2025-10-07,,Operations,Unit 2,Wales & South West,Appeals & Inquiries,In Progress,25,60,,985.98
CAS-2025-01092,2025-07-28,2025-08-25,Operations,Unit 4,Midlands,Complex Inspection,Completed,28,45,93.0,1142.44
CAS-2025-01093,2025-01-29,2025-02-16,Operations,Unit 3,London & South East,Standard Application,Completed,18,15,90.9,700.78
CAS-2025-01094,2025-02-10,2025-04-03,Operations,Unit 1,London & South East,Complex Inspection,Completed,52,45,93.5,1956.05
CAS-2025-01095,2025-06-22,2025-06-25,Customer Enforcement,Unit 1,Wales & South West,Urgent License,Completed,3,5,97.9,191.89
CAS-2025-01096,2025-07-12,2025-07-21,Operations,Unit 4,North & Scotland,Standard Application,Completed,9,15,86.5,441.4
CAS-2025-01097,2025-10-22,,Regulatory Approvals,Unit 2,Midlands,Standard Application,Awaiting Evidence,10,15,,478.26
CAS-2025-01098,2025-10-16,2025-11-01,Operations,Unit 3,Wales & South West,Standard Application,Completed,16,15,83.9,702.64
CAS-2025-01099,2025-07-20,2025-08-02,Customer Enforcement,Unit 1,London & South East,Standard Application,Completed,13,15,100.0,554.98
CAS-2025-01100,2025-02-08,2025-03-03,Operations,Unit 2,London & South East,Standard Application,Completed,23,15,91.7,867.03
CAS-2025-01101,2025-01-12,2025-02-13,Operations,Unit 4,North & Scotland,Appeals & Inquiries,Completed,32,60,91.6,1204.51
CAS-2025-01102,2025-03-21,2025-03-25,Specialist Assessment,Unit 4,North & Scotland,Urgent License,Completed,4,5,95.7,261.23
CAS-2025-01103,2025-07-17,2025-08-28,Specialist Assessment,Unit 2,London & South East,Complex Inspection,Completed,42,45,92.9,1545.42
CAS-2025-01104,2025-01-16,2025-03-20,Specialist Assessment,Unit 3,Midlands,Complex Inspection,Completed,63,45,89.7,2289.89
CAS-2025-01105,2025-04-27,2025-05-06,Customer Enforcement,Unit 3,Wales & South West,Standard Application,Completed,9,15,95.9,374.99
CAS-2025-01106,2025-04-13,2025-04-20,Operations,Unit 3,Wales & South West,Standard Application,Completed,7,15,96.7,306.2
CAS-2025-01107,2025-10-20,2025-10-31,Regulatory Approvals,Unit 2,North & Scotland,Standard Application,Completed,11,15,93.1,506.67
CAS-2025-01108,2025-07-29,2025-08-01,Regulatory Approvals,Unit 1,Midlands,Urgent License,Completed,3,5,100.0,202.69
CAS-2025-01109,2025-02-03,2025-04-12,Operations,Unit 3,London & South East,Complex Inspection,Completed,68,45,99.3,2504.19
CAS-2025-01110,2025-09-02,2025-09-11,Regulatory Approvals,Unit 4,Wales & South West,Standard Application,Completed,9,15,87.9,378.67
CAS-2025-01111,2025-03-06,2025-03-14,Operations,Unit 3,London & South East,Standard Application,Completed,8,15,86.0,338.21
CAS-2025-01112,2025-07-12,2025-07-21,Specialist Assessment,Unit 3,London & South East,Standard Application,Completed,9,15,87.4,381.94
CAS-2025-01113,2025-07-06,2025-07-15,Specialist Assessment,Unit 1,London & South East,Standard Application,Completed,9,15,100.0,386.2
CAS-2025-01114,2025-02-21,2025-02-23,Operations,Unit 4,Wales & South West,Urgent License,Completed,2,5,88.0,204.06
CAS-2025-01115,2025-04-17,2025-05-01,Operations,Unit 2,London & South East,Standard Application,Completed,14,15,89.0,643.91
CAS-2025-01116,2025-06-26,2025-07-24,Regulatory Approvals,Unit 4,Midlands,Complex Inspection,Completed,28,45,91.0,1095.52
CAS-2025-01117,2025-03-03,2025-03-14,Specialist Assessment,Unit 3,Wales & South West,Standard Application,Completed,11,15,78.5,467.8
CAS-2025-01118,2025-01-29,2025-02-03,Specialist Assessment,Unit 1,Midlands,Urgent License,Completed,5,5,86.7,293.02
CAS-2025-01119,2025-09-18,2025-09-25,Customer Enforcement,Unit 2,Wales & South West,Standard Application,Completed,7,15,90.6,351.76
CAS-2025-01120,2025-02-06,2025-02-22,Operations,Unit 1,Wales & South West,Standard Application,Completed,16,15,92.6,667.51
CAS-2025-01121,2025-08-12,2025-09-22,Regulatory Approvals,Unit 3,Midlands,Complex Inspection,Completed,41,45,98.6,1578.89
CAS-2025-01122,2025-08-04,2025-08-09,Customer Enforcement,Unit 4,Wales & South West,Urgent License,Completed,5,5,92.8,298.34
CAS-2025-01123,2025-02-14,2025-04-01,Regulatory Approvals,Unit 2,Wales & South West,Complex Inspection,Completed,46,45,91.0,1716.51
CAS-2025-01124,2025-06-07,2025-07-23,Specialist Assessment,Unit 2,Wales & South West,Complex Inspection,Completed,46,45,92.9,1708.87
CAS-2025-01125,2025-08-12,2025-09-06,Operations,Unit 3,London & South East,Complex Inspection,Completed,25,45,90.7,965.83
CAS-2025-01126,2025-03-15,2025-03-23,Regulatory Approvals,Unit 2,North & Scotland,Standard Application,Completed,8,15,93.1,409.37
CAS-2025-01127,2025-10-05,2025-10-13,Specialist Assessment,Unit 4,Wales & South West,Standard Application,Completed,8,15,89.8,392.22
CAS-2025-01128,2025-07-12,2025-07-21,Operations,Unit 4,North & Scotland,Urgent License,Completed,9,5,93.0,437.11
CAS-2025-01129,2025-07-23,2025-07-25,Customer Enforcement,Unit 3,Wales & South West,Urgent License,Completed,2,5,100.0,189.33
CAS-2025-01130,2025-01-26,2025-02-27,Operations,Unit 2,London & South East,Appeals & Inquiries,Completed,32,60,91.6,1271.42
CAS-2025-01131,2025-09-28,2025-10-05,Customer Enforcement,Unit 1,North & Scotland,Standard Application,Completed,7,15,98.7,325.83
CAS-2025-01132,2025-08-24,2025-10-31,Operations,Unit 1,London & South East,Appeals & Inquiries,Completed,68,60,99.9,2560.45
CAS-2025-01133,2025-05-27,2025-06-13,Operations,Unit 3,North & Scotland,Standard Application,Completed,17,15,87.7,656.61
CAS-2025-01134,2025-10-08,2025-10-18,Customer Enforcement,Unit 2,North & Scotland,Standard Application,Completed,10,15,88.0,420.92
CAS-2025-01135,2025-05-25,2025-06-04,Operations,Unit 4,North & Scotland,Standard Application,Completed,10,15,95.1,501.75
CAS-2025-01136,2025-02-15,2025-03-25,Regulatory Approvals,Unit 2,Midlands,Complex Inspection,Completed,38,45,90.5,1423.75
CAS-2025-01137,2025-01-09,2025-01-20,Operations,Unit 1,Wales & South West,Standard Application,Completed,11,15,97.0,471.54
CAS-2025-01138,2025-07-24,2025-08-25,Operations,Unit 1,Midlands,Complex Inspection,Completed,32,45,88.1,1283.47
CAS-2025-01139,2025-06-15,2025-06-19,Operations,Unit 1,London & South East,Urgent License,Completed,4,5,91.9,202.49
CAS-2025-01140,2025-03-17,2025-03-28,Specialist Assessment,Unit 4,North & Scotland,Standard Application,Completed,11,15,88.6,510.75
CAS-2025-01141,2025-07-21,2025-07-31,Customer Enforcement,Unit 2,Wales & South West,Standard Application,Completed,10,15,89.2,437.21
CAS-2025-01142,2025-06-15,2025-06-17,Regulatory Approvals,Unit 2,Midlands,Urgent License,Completed,2,5,98.5,137.75
CAS-2025-01143,2025-05-03,2025-05-13,Operations,Unit 2,London & South East,Standard Application,Completed,10,15,96.2,476.41
CAS-2025-01144,2025-03-25,2025-04-12,Operations,Unit 3,North & Scotland,Standard Application,Completed,18,15,94.4,743.76
CAS-2025-01145,2025-01-22,2025-03-08,Regulatory Approvals,Unit 3,North & Scotland,Complex Inspection,Completed,45,45,88.1,1734.68
CAS-2025-01146,2025-05-02,2025-06-27,Operations,Unit 2,Wales & South West,Complex Inspection,Completed,56,45,89.1,2081.37
CAS-2025-01147,2025-10-15,,Regulatory Approvals,Unit 2,Midlands,Complex Inspection,In Progress,17,45,,702.83
CAS-2025-01148,2025-07-21,2025-07-29,Regulatory Approvals,Unit 1,London & South East,Standard Application,Completed,8,15,90.0,430.08
CAS-2025-01149,2025-01-24,2025-02-21,Regulatory Approvals,Unit 4,Wales & South West,Standard Application,Completed,28,15,94.1,1048.01
CAS-2025-01150,2025-06-26,2025-07-05,Regulatory Approvals,Unit 1,Wales & South West,Standard Application,Completed,9,15,100.0,448.8
CAS-2025-01151,2025-10-22,,Operations,Unit 3,Midlands,Appeals & Inquiries,In Progress,10,60,,451.58
CAS-2025-01152,2025-01-21,2025-03-24,Customer Enforcement,Unit 3,Midlands,Complex Inspection,Completed,62,45,100.0,2268.97
CAS-2025-01153,2025-01-14,2025-01-17,Specialist Assessment,Unit 3,London & South East,Urgent License,Completed,3,5,95.3,201.03
CAS-2025-01154,2025-08-19,2025-08-28,Operations,Unit 2,North & Scotland,Standard Application,Completed,9,15,89.8,466.44
CAS-2025-01155,2025-03-07,2025-04-14,Specialist Assessment,Unit 1,North & Scotland,Complex Inspection,Completed,38,45,83.6,1422.47
CAS-2025-01156,2025-01-10,2025-02-09,Operations,Unit 2,Wales & South West,Complex Inspection,Completed,30,45,88.7,1197.89
CAS-2025-01157,2025-09-14,2025-10-19,Regulatory Approvals,Unit 4,North & Scotland,Appeals & Inquiries,Completed,35,60,84.2,1353.05
CAS-2025-01158,2025-06-24,2025-06-29,Regulatory Approvals,Unit 1,London & South East,Urgent License,Completed,5,5,82.9,286.04
CAS-2025-01159,2025-07-26,2025-08-22,Regulatory Approvals,Unit 3,London & South East,Standard Application,Completed,27,15,90.1,1013.67
CAS-2025-01160,2025-01-01,2025-02-07,Operations,Unit 2,London & South East,Appeals & Inquiries,Completed,37,60,89.3,1414.22
CAS-2025-01161,2025-07-25,2025-08-06,Regulatory Approvals,Unit 4,London & South East,Standard Application,Completed,12,15,92.4,501.42
CAS-2025-01162,2025-06-27,2025-07-04,Operations,Unit 2,Wales & South West,Standard Application,Completed,7,15,94.4,312.85
CAS-2025-01163,2025-08-22,2025-09-04,Customer Enforcement,Unit 4,Midlands,Standard Application,Completed,13,15,89.2,607.83
CAS-2025-01164,2025-06-24,2025-08-15,Regulatory Approvals,Unit 3,North & Scotland,Appeals & Inquiries,Completed,52,60,88.4,1945.72
CAS-2025-01165,2025-05-25,2025-05-27,Customer Enforcement,Unit 3,Wales & South West,Urgent License,Completed,2,5,95.7,203.68
CAS-2025-01166,2025-10-31,,Regulatory Approvals,Unit 2,Midlands,Complex Inspection,Awaiting Evidence,1,45,,117.31
CAS-2025-01167,2025-06-10,2025-06-13,Regulatory Approvals,Unit 4,London & South East,Urgent License,Completed,3,5,92.8,230.34
CAS-2025-01168,2025-04-08,2025-05-28,Regulatory Approvals,Unit 2,Wales & South West,Complex Inspection,Completed,50,45,96.3,1868.56
CAS-2025-01169,2025-05-09,2025-05-18,Operations,Unit 2,North & Scotland,Standard Application,Completed,9,15,95.8,406.15
CAS-2025-01170,2025-07-18,2025-08-25,Regulatory Approvals,Unit 3,Wales & South West,Complex Inspection,Completed,38,45,79.1,1400.47
CAS-2025-01171,2025-09-24,2025-10-27,Regulatory Approvals,Unit 2,Midlands,Complex Inspection,Completed,33,45,100.0,1259.48
CAS-2025-01172,2025-10-09,,Specialist Assessment,Unit 2,Midlands,Appeals & Inquiries,In Progress,23,60,,904.52
CAS-2025-01173,2025-10-31,,Regulatory Approvals,Unit 4,Wales & South West,Complex Inspection,Awaiting Evidence,1,45,,160.19
CAS-2025-01174,2025-01-21,2025-03-22,Operations,Unit 3,Wales & South West,Complex Inspection,Completed,60,45,92.6,2186.03
CAS-2025-01175,2025-10-04,2025-10-15,Regulatory Approvals,Unit 3,Midlands,Standard Application,Completed,11,15,91.6,492.81
CAS-2025-01176,2025-01-27,2025-02-21,Specialist Assessment,Unit 4,North & Scotland,Complex Inspection,Completed,25,45,87.7,1035.17
CAS-2025-01177,2025-03-31,2025-04-27,Operations,Unit 3,North & Scotland,Complex Inspection,Completed,27,45,100.0,1061.02
CAS-2025-01178,2025-03-12,2025-03-31,Operations,Unit 1,Midlands,Standard Application,Completed,19,15,87.1,806.07
CAS-2025-01179,2025-06-21,2025-08-08,Operations,Unit 2,North & Scotland,Appeals & Inquiries,Completed,48,60,91.1,1835.92
CAS-2025-01180,2025-08-02,2025-08-29,Regulatory Approvals,Unit 2,London & South East,Complex Inspection,Completed,27,45,96.4,1085.49
CAS-2025-01181,2025-02-18,2025-03-05,Operations,Unit 1,Wales & South West,Standard Application,Completed,15,15,90.5,624.87
CAS-2025-01182,2025-07-21,2025-07-30,Customer Enforcement,Unit 3,Wales & South West,Standard Application,Completed,9,15,89.3,456.43
CAS-2025-01183,2025-06-10,2025-06-22,Operations,Unit 1,Midlands,Standard Application,Completed,12,15,88.5,536.71
CAS-2025-01184,2025-06-09,2025-07-03,Regulatory Approvals,Unit 1,Midlands,Complex Inspection,Completed,24,45,89.4,961.7
CAS-2025-01185,2025-05-26,2025-07-07,Regulatory Approvals,Unit 2,London & South East,Complex Inspection,Completed,42,45,87.9,1640.13
CAS-2025-01186,2025-07-07,2025-07-25,Customer Enforcement,Unit 4,Midlands,Standard Application,Completed,18,15,87.5,753.53
CAS-2025-01187,2025-06-13,2025-06-22,Operations,Unit 4,London & South East,Standard Application,Completed,9,15,97.2,376.44
CAS-2025-01188,2025-02-18,2025-03-02,Customer Enforcement,Unit 4,London & South East,Standard Application,Completed,12,15,95.8,544.01
CAS-2025-01189,2025-10-27,,Operations,Unit 3,Midlands,Complex Inspection,Awaiting Evidence,5,45,,263.79
CAS-2025-01190,2025-10-18,2025-10-29,Customer Enforcement,Unit 2,Wales & South West,Standard Application,Completed,11,15,82.7,536.26
CAS-2025-01191,2025-10-14,2025-10-23,Customer Enforcement,Unit 3,Wales & South West,Standard Application,Completed,9,15,78.0,381.48
CAS-2025-01192,2025-04-25,2025-06-09,Operations,Unit 1,Wales & South West,Appeals & Inquiries,Completed,45,60,89.0,1731.7
CAS-2025-01193,2025-05-29,2025-06-03,Operations,Unit 2,Midlands,Urgent License,Completed,5,5,92.9,243.43
CAS-2025-01194,2025-05-22,2025-05-31,Operations,Unit 3,Midlands,Standard Application,Completed,9,15,100.0,404.13
CAS-2025-01195,2025-09-06,2025-09-16,Regulatory Approvals,Unit 3,North & Scotland,Standard Application,Completed,10,15,94.3,496.94
CAS-2025-01196,2025-05-23,2025-06-12,Specialist Assessment,Unit 1,Wales & South West,Standard Application,Completed,20,15,100.0,771.64
CAS-2025-01197,2025-03-23,2025-05-06,Regulatory Approvals,Unit 2,Wales & South West,Complex Inspection,Completed,44,45,89.8,1693.87
CAS-2025-01198,2025-06-12,2025-07-07,Operations,Unit 2,North & Scotland,Standard Application,Completed,25,15,89.3,1001.6
CAS-2025-01199,2025-01-25,2025-02-05,Regulatory Approvals,Unit 1,Midlands,Standard Application,Completed,11,15,88.9,535.78
CAS-2025-01200,2025-01-25,2025-02-04,Regulatory Approvals,Unit 2,Wales & South West,Standard Application,Completed,10,15,97.6,428.26
CAS-2025-01201,2025-06-22,2025-06-30,Regulatory Approvals,Unit 4,Wales & South West,Standard Application,Completed,8,15,74.7,344.57
CAS-2025-01202,2025-06-09,2025-07-05,Operations,Unit 2,Midlands,Complex Inspection,Completed,26,45,93.8,979.13
CAS-2025-01203,2025-09-23,2025-09-26,Operations,Unit 2,North & Scotland,Urgent License,Completed,3,5,88.4,173.57
CAS-2025-01204,2025-05-29,2025-06-10,Operations,Unit 2,Midlands,Standard Application,Completed,12,15,81.6,482.23
CAS-2025-01205,2025-09-17,2025-09-25,Regulatory Approvals,Unit 4,London & South East,Standard Application,Completed,8,15,94.9,418.8
CAS-2025-01206,2025-06-27,2025-07-05,Operations,Unit 4,North & Scotland,Standard Application,Completed,8,15,85.8,370.78
CAS-2025-01207,2025-04-02,2025-04-25,Regulatory Approvals,Unit 3,London & South East,Standard Application,Completed,23,15,88.6,908.36
CAS-2025-01208,2025-08-18,2025-08-28,Operations,Unit 2,North & Scotland,Standard Application,Completed,10,15,89.7,426.52
